director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,description
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,Precious,Precious Mo'Nique Gabourey Sidibe Mariah Carey Drama
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Horror Mystery,Saw IV,Saw IV Costas Mandylor Shawnee Smith Angus Macfadyen Horror Mystery
Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Drama Horror Mystery Thriller,White Noise,White Noise Deborah Kara Unger Keegan Connor Tracy Mike Dopud Drama Horror Mystery Thriller
Tyler Perry,Boris Kodjoe,Cicely Tyson,Blair Underwood,Comedy Drama Romance,Madea's Family Reunion,Madea's Family Reunion Boris Kodjoe Cicely Tyson Blair Underwood Comedy Drama Romance
Martin Scorsese,Tom Cruise,Bill Cobbs,Mary Elizabeth Mastrantonio,Drama Sport,The Color of Money,The Color of Money Tom Cruise Bill Cobbs Mary Elizabeth Mastrantonio Drama Sport
Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,Action Drama History War,The Longest Day,The Longest Day Richard Burton Richard Beymer Eddie Albert Action Drama History War
Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,Comedy Drama Family Sport,The Mighty Ducks,The Mighty Ducks Lane Smith Shaun Weiss Elden Henson Comedy Drama Family Sport
Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,Horror Mystery Thriller,The Grudge,The Grudge Sarah Michelle Gellar Clea DuVall Ted Raimi Horror Mystery Thriller
Dennis Dugan,Adam Sandler,Kevin Nealon,Frances Bay,Comedy Sport,Happy Gilmore,Happy Gilmore Adam Sandler Kevin Nealon Frances Bay Comedy Sport
Victor Salva,Eileen Brennan,Patricia Belcher,Jonathan Breck,Horror Mystery,Jeepers Creepers,Jeepers Creepers Eileen Brennan Patricia Belcher Jonathan Breck Horror Mystery
Stephen Herek,Keanu Reeves,George Carlin,Al Leong,Adventure Comedy Music Sci-Fi,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure Keanu Reeves George Carlin Al Leong Adventure Comedy Music Sci-Fi
Carol Reed,Oliver Reed,Ron Moody,Jack Wild,Drama Family Musical,Oliver!,Oliver! Oliver Reed Ron Moody Jack Wild Drama Family Musical
John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,Comedy Drama,The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel Tom Wilkinson Penelope Wilton Celia Imrie Comedy Drama
Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Animation Comedy Family Mystery Sci-Fi,Recess: School's Out,Recess: School's Out Diedrich Bader Andrew Lawrence Dabney Coleman Animation Comedy Family Mystery Sci-Fi
George Miller,Tina Turner,Bruce Spence,Angelo Rossitto,Action Adventure Sci-Fi Thriller,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome Tina Turner Bruce Spence Angelo Rossitto Action Adventure Sci-Fi Thriller
Mark L. Lester,Bill Duke,Vernon Wells,Rae Dawn Chong,Action Adventure Thriller,Commando,Commando Bill Duke Vernon Wells Rae Dawn Chong Action Adventure Thriller
William Brent Bell,Lauren Cohan,Rupert Evans,Stephanie Lemelin,Horror Mystery Thriller,The Boy,The Boy Lauren Cohan Rupert Evans Stephanie Lemelin Horror Mystery Thriller
John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Horror Mystery Thriller,Devil,Devil Bojana Novakovic Bokeem Woodbine Geoffrey Arend Horror Mystery Thriller
Marcus Raboy,John Witherspoon,Mike Epps,Katt Williams,Comedy Drama,Friday After Next,Friday After Next John Witherspoon Mike Epps Katt Williams Comedy Drama
Leigh Whannell,Lin Shaye,Hayley Kiyoko,Leigh Whannell,Fantasy Horror Thriller,Insidious: Chapter 3,Insidious: Chapter 3 Lin Shaye Hayley Kiyoko Leigh Whannell Fantasy Horror Thriller
Michael Schultz,Mike Starr,Vanity,Keshia Knight Pulliam,Action Comedy Drama Music,The Last Dragon,The Last Dragon Mike Starr Vanity Keshia Knight Pulliam Action Comedy Drama Music
Guy Ritchie,Jason Statham,Brad Pitt,Jason Flemyng,Comedy Crime,Snatch,Snatch Jason Statham Brad Pitt Jason Flemyng Comedy Crime
Brett Leonard,Jeff Fahey,Austin O'Brien,Troy Evans,Horror Sci-Fi,The Lawnmower Man,The Lawnmower Man Jeff Fahey Austin O'Brien Troy Evans Horror Sci-Fi
Peter Sollett,Ari Graynor,Alexis Dziena,Aaron Yoo,Comedy Drama Music Romance,Nick and Norah's Infinite Playlist,Nick and Norah's Infinite Playlist Ari Graynor Alexis Dziena Aaron Yoo Comedy Drama Music Romance
Kevin Smith,Matt Damon,Janeane Garofalo,George Carlin,Adventure Comedy Drama Fantasy,Dogma,Dogma Matt Damon Janeane Garofalo George Carlin Adventure Comedy Drama Fantasy
Bob Dolman,Erika Christensen,Eva Amurri Martino,Sal Lopez,Comedy Drama,The Banger Sisters,The Banger Sisters Erika Christensen Eva Amurri Martino Sal Lopez Comedy Drama
Joe Dante,Albert Brooks,Al Leong,Vic Morrow,Fantasy Horror Sci-Fi,Twilight Zone: The Movie,Twilight Zone: The Movie Albert Brooks Al Leong Vic Morrow Fantasy Horror Sci-Fi
Rowdy Herrington,Ben Gazzara,Kevin Tighe,Kelly Lynch,Action Thriller,Road House,Road House Ben Gazzara Kevin Tighe Kelly Lynch Action Thriller
Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,Action Comedy Crime,A Low Down Dirty Shame,A Low Down Dirty Shame Jada Pinkett Smith Salli Richardson-Whitfield Charles S. Dutton Action Comedy Crime
John Polson,Erika Christensen,Shiri Appleby,Jason Ritter,Drama Thriller,Swimfan,Swimfan Erika Christensen Shiri Appleby Jason Ritter Drama Thriller
Greg Coolidge,Dane Cook,Danny Woodburn,Jessica Simpson,Comedy Romance,Employee of the Month,Employee of the Month Dane Cook Danny Woodburn Jessica Simpson Comedy Romance
Harry Elfont,Ethan Embry,Lauren Ambrose,Charlie Korsmo,Comedy Romance,Can't Hardly Wait,Can't Hardly Wait Ethan Embry Lauren Ambrose Charlie Korsmo Comedy Romance
Francis Ford Coppola,Tom Cruise,William Smith,Tom Waits,Crime Drama,The Outsiders,The Outsiders Tom Cruise William Smith Tom Waits Crime Drama
David Lowery,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,Adventure Family Fantasy,Pete's Dragon,Pete's Dragon Bryce Dallas Howard Oona Laurence Isiah Whitlock Jr. Adventure Family Fantasy
David Cronenberg,Tom Skerritt,Herbert Lom,Anthony Zerbe,Horror Sci-Fi Thriller,The Dead Zone,The Dead Zone Tom Skerritt Herbert Lom Anthony Zerbe Horror Sci-Fi Thriller
Ciarán Foy,Laila Haley,James Ransone,Jaden Klein,Horror Mystery Thriller,Sinister 2,Sinister 2 Laila Haley James Ransone Jaden Klein Horror Mystery Thriller
Salim Akil,Omari Hardwick,Curtis Armstrong,Mike Epps,Drama Music,Sparkle,Sparkle Omari Hardwick Curtis Armstrong Mike Epps Drama Music
Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Horror Mystery Thriller,Valentine,Valentine Marley Shelton Jessica Capshaw Johnny Whitworth Horror Mystery Thriller
Olatunde Osunsanmi,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,Mystery Sci-Fi Thriller,The Fourth Kind,The Fourth Kind Milla Jovovich Will Patton Hakeem Kae-Kazim Mystery Sci-Fi Thriller
Robert Altman,Meryl Streep,Virginia Madsen,Lily Tomlin,Comedy Drama Music,A Prairie Home Companion,A Prairie Home Companion Meryl Streep Virginia Madsen Lily Tomlin Comedy Drama Music
Leon Ichaso,Khandi Alexander,Clarence Williams III,Steve Harris,Drama Thriller,Sugar Hill,Sugar Hill Khandi Alexander Clarence Williams III Steve Harris Drama Thriller
Joseph Zito,Billy Drago,Richard Lynch,Eddie Jones,Action Thriller,Invasion U.S.A.,Invasion U.S.A. Billy Drago Richard Lynch Eddie Jones Action Thriller
Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,Comedy Drama Music Romance,Roll Bounce,Roll Bounce Jurnee Smollett-Bell Brandon T. Jackson Shad Moss Comedy Drama Music Romance
Wes Anderson,Bill Murray,Connie Nielsen,Olivia Williams,Comedy Drama,Rushmore,Rushmore Bill Murray Connie Nielsen Olivia Williams Comedy Drama
Colin Strause,David Zayas,Donald Faison,Brittany Daniel,Action Sci-Fi Thriller,Skyline,Skyline David Zayas Donald Faison Brittany Daniel Action Sci-Fi Thriller
John Madden,Tina Desai,Celia Imrie,Ronald Pickup,Comedy Drama,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel Tina Desai Celia Imrie Ronald Pickup Comedy Drama
Patricia Rozema,Julia Ormond,Jane Krakowski,Willow Smith,Drama Family,Kit Kittredge: An American Girl,Kit Kittredge: An American Girl Julia Ormond Jane Krakowski Willow Smith Drama Family
Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,Comedy Family Romance,The Perfect Man,The Perfect Man Ben Feldman Chris Noth Vanessa Lengies Comedy Family Romance
Spike Lee,Denzel Washington,Nicholas Turturro,Charlie Murphy,Drama Music Romance,Mo' Better Blues,Mo' Better Blues Denzel Washington Nicholas Turturro Charlie Murphy Drama Music Romance
Steve Oedekerk,Steve Oedekerk,Simon Rhee,Jennifer Tung,Action Comedy,Kung Pow: Enter the Fist,Kung Pow: Enter the Fist Steve Oedekerk Simon Rhee Jennifer Tung Action Comedy
Ron Underwood,Reba McEntire,Ariana Richards,Michael Gross,Comedy Horror Sci-Fi,Tremors,Tremors Reba McEntire Ariana Richards Michael Gross Comedy Horror Sci-Fi
Rob Schmidt,Kevin Zegers,Lindy Booth,Julian Richings,Horror Thriller,Wrong Turn,Wrong Turn Kevin Zegers Lindy Booth Julian Richings Horror Thriller
Walter Hill,Dennis Quaid,David Carradine,Randy Quaid,Western,The Long Riders,The Long Riders Dennis Quaid David Carradine Randy Quaid Western
James Foley,Byron Mann,Paul Ben-Victor,Kim Chan,Action Crime Drama Mystery Thriller,The Corruptor,The Corruptor Byron Mann Paul Ben-Victor Kim Chan Action Crime Drama Mystery Thriller
Jeff Nichols,Matthew McConaughey,Tye Sheridan,Sam Shepard,Drama,Mud,Mud Matthew McConaughey Tye Sheridan Sam Shepard Drama
Robert Ben Garant,Wendi McLendon-Covey,Thomas Lennon,Carlos Alazraqui,Comedy Crime,Reno 911!: Miami,Reno 911!: Miami Wendi McLendon-Covey Thomas Lennon Carlos Alazraqui Comedy Crime
Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,Documentary Music,One Direction: This Is Us,One Direction: This Is Us Harry Styles Zayn Malik Niall Horan Documentary Music
Neal Brennan,Rob Riggle,Noureen DeWulf,Charles Napier,Comedy,"The Goods: Live Hard, Sell Hard","The Goods: Live Hard, Sell Hard Rob Riggle Noureen DeWulf Charles Napier Comedy"
Tuck Tucker,Jennifer Jason Leigh,Vincent Schiavelli,Paul Sorvino,Adventure Animation Comedy Family,Hey Arnold! The Movie,Hey Arnold! The Movie Jennifer Jason Leigh Vincent Schiavelli Paul Sorvino Adventure Animation Comedy Family
Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,Biography Drama,My Week with Marilyn,My Week with Marilyn Eddie Redmayne Toby Jones Julia Ormond Biography Drama
Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,Comedy Crime Drama Thriller,The Matador,The Matador Adam Scott Philip Baker Hall Hope Davis Comedy Crime Drama Thriller
Theodore Witcher,Leonard Roberts,Nia Long,Larenz Tate,Drama Romance,Love Jones,Love Jones Leonard Roberts Nia Long Larenz Tate Drama Romance
Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,Adventure Drama,End of the Spear,End of the Spear Chase Ellison Chad Allen Jack Guzman Adventure Drama
Tommy O'Haver,Mila Kunis,Kirsten Dunst,Carmen Electra,Comedy Romance,Get Over It,Get Over It Mila Kunis Kirsten Dunst Carmen Electra Comedy Romance
Mike Judge,Gary Cole,Stephen Root,Diedrich Bader,Comedy,Office Space,Office Space Gary Cole Stephen Root Diedrich Bader Comedy
Michael Patrick Jann,Kirsten Dunst,Kirstie Alley,Ellen Barkin,Comedy Romance Thriller,Drop Dead Gorgeous,Drop Dead Gorgeous Kirsten Dunst Kirstie Alley Ellen Barkin Comedy Romance Thriller
Tim Burton,Christoph Waltz,Danny Huston,Jon Polito,Biography Crime Drama Romance,Big Eyes,Big Eyes Christoph Waltz Danny Huston Jon Polito Biography Crime Drama Romance
Peter Berg,Jon Favreau,Daniel Stern,Jeanne Tripplehorn,Comedy Crime Thriller,Very Bad Things,Very Bad Things Jon Favreau Daniel Stern Jeanne Tripplehorn Comedy Crime Thriller
Joe Nussbaum,Steve Carell,Alexa PenaVega,Hunter Parrish,Comedy Romance,Sleepover,Sleepover Steve Carell Alexa PenaVega Hunter Parrish Comedy Romance
Brian De Palma,Melanie Griffith,Dennis Franz,Gregg Henry,Mystery Thriller,Body Double,Body Double Melanie Griffith Dennis Franz Gregg Henry Mystery Thriller
Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,Action Comedy Romance,MacGruber,MacGruber Jasper Cole Will Forte Powers Boothe Action Comedy Romance
Stephen Frears,Sophie Okonedo,Benedict Wong,Sergi López,Crime Drama Thriller,Dirty Pretty Things,Dirty Pretty Things Sophie Okonedo Benedict Wong Sergi López Crime Drama Thriller
Elizabeth Banks,Hugh Jackman,Kate Winslet,Seth MacFarlane,Comedy,Movie 43,Movie 43 Hugh Jackman Kate Winslet Seth MacFarlane Comedy
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller,The Tourist,The Tourist Johnny Depp Angelina Jolie Pitt Rufus Sewell Action Romance Thriller
Jeff Lowell,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,Comedy Fantasy Romance,Over Her Dead Body,Over Her Dead Body Stephen Root William Morgan Sheppard Wendi McLendon-Covey Comedy Fantasy Romance
Lorene Scafaria,Steve Carell,Mark Moses,Rob Huebel,Adventure Comedy Drama Romance Sci-Fi,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World Steve Carell Mark Moses Rob Huebel Adventure Comedy Drama Romance Sci-Fi
Miguel Arteta,Kurtwood Smith,Stephen Root,Alia Shawkat,Comedy,Cedar Rapids,Cedar Rapids Kurtwood Smith Stephen Root Alia Shawkat Comedy
unknown,Michaela Conlin,T.J. Thyne,Tamara Taylor,Comedy Crime Drama Mystery Romance,Bones            ,Bones             Michaela Conlin T.J. Thyne Tamara Taylor Comedy Crime Drama Mystery Romance
Tony Kaye,Ethan Suplee,Beverly D'Angelo,Stacy Keach,Crime Drama,American History X,American History X Ethan Suplee Beverly D'Angelo Stacy Keach Crime Drama
Marcus Dunstan,Daniel Sharman,Johanna Braddy,Lee Tergesen,Action Horror Thriller,The Collection,The Collection Daniel Sharman Johanna Braddy Lee Tergesen Action Horror Thriller
Timothy Björklund,Nathan Lane,Kelsey Grammer,Jerry Stiller,Animation Comedy Family Fantasy Musical,Teacher's Pet,Teacher's Pet Nathan Lane Kelsey Grammer Jerry Stiller Animation Comedy Family Fantasy Musical
François Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,Drama Music Mystery Romance,The Red Violin,The Red Violin Johannes Silberschneider Clotilde Mollet Carlo Cecchi Drama Music Mystery Romance
David Lynch,Sissy Spacek,Richard Farnsworth,Everett McGill,Biography Drama,The Straight Story,The Straight Story Sissy Spacek Richard Farnsworth Everett McGill Biography Drama
Scott Kalvert,Norman Reedus,James Franco,Frankie Muniz,Action Crime Drama,Deuces Wild,Deuces Wild Norman Reedus James Franco Frankie Muniz Action Crime Drama
Jason Bateman,Beth Grant,Philip Baker Hall,Patricia Belcher,Comedy Drama,Bad Words,Bad Words Beth Grant Philip Baker Hall Patricia Belcher Comedy Drama
David Schwimmer,Dylan Moran,Iddo Goldberg,India de Beaufort,Comedy Romance Sport,"Run, Fatboy, Run","Run, Fatboy, Run Dylan Moran Iddo Goldberg India de Beaufort Comedy Romance Sport"
Allan Arkush,Bernadette Peters,Randy Quaid,Christopher Guest,Comedy Sci-Fi,Heartbeeps,Heartbeeps Bernadette Peters Randy Quaid Christopher Guest Comedy Sci-Fi
Mike Binder,Jennifer Ehle,Gillian Jacobs,Jillian Estell,Drama,Black or White,Black or White Jennifer Ehle Gillian Jacobs Jillian Estell Drama
Eric Bross,Jerry Stiller,Tamala Jones,Dave Foley,Comedy Family Romance,On the Line,On the Line Jerry Stiller Tamala Jones Dave Foley Comedy Family Romance
Werner Herzog,Christian Bale,Toby Huss,François Chau,Adventure Biography Drama War,Rescue Dawn,Rescue Dawn Christian Bale Toby Huss François Chau Adventure Biography Drama War
Dan Fogelman,Al Pacino,Jennifer Garner,Melissa Benoist,Comedy Drama Music,Danny Collins,Danny Collins Al Pacino Jennifer Garner Melissa Benoist Comedy Drama Music
Jay Duplass,Judy Greer,Evan Ross,Rae Dawn Chong,Comedy Drama,"Jeff, Who Lives at Home","Jeff, Who Lives at Home Judy Greer Evan Ross Rae Dawn Chong Comedy Drama"
Luca Guadagnino,Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher,Drama Romance,I Am Love,I Am Love Flavio Parenti Waris Ahluwalia Alba Rohrwacher Drama Romance
John Putch,Robert Picardo,Diedrich Bader,Esai Morales,Drama Mystery Sci-Fi,Atlas Shrugged II: The Strike,Atlas Shrugged II: The Strike Robert Picardo Diedrich Bader Esai Morales Drama Mystery Sci-Fi
Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,Action Crime Drama Thriller,Romeo Is Bleeding,Romeo Is Bleeding Gary Oldman Michael Wincott Lena Olin Action Crime Drama Thriller
Steven Soderbergh,Peter Fonda,Lesley Ann Warren,William Lucking,Crime Drama Mystery Thriller,The Limey,The Limey Peter Fonda Lesley Ann Warren William Lucking Crime Drama Mystery Thriller
Terence Davies,Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,Drama Romance,The House of Mirth,The House of Mirth Eric Stoltz Anthony LaPaglia Elizabeth McGovern Drama Romance
Harley Cokeliss,Cliff Robertson,Tracey Walter,Dennis Burkley,Action Drama Thriller,Malone,Malone Cliff Robertson Tracey Walter Dennis Burkley Action Drama Thriller
Victor Salva,Scott Mechlowicz,Tim DeKay,Agnes Bruckner,Drama Romance Sport,Peaceful Warrior,Peaceful Warrior Scott Mechlowicz Tim DeKay Agnes Bruckner Drama Romance Sport
Tom Brady,Don Johnson,Kevin Nealon,Nicholas Turturro,Comedy,Bucky Larson: Born to Be a Star,Bucky Larson: Born to Be a Star Don Johnson Kevin Nealon Nicholas Turturro Comedy
Spike Lee,Gillian White,Michael Rapaport,Jada Pinkett Smith,Comedy Drama Music,Bamboozled,Bamboozled Gillian White Michael Rapaport Jada Pinkett Smith Comedy Drama Music
Jason Zada,Eoin Macken,Stephanie Vogt,Gen Seto,Horror Mystery Thriller,The Forest,The Forest Eoin Macken Stephanie Vogt Gen Seto Horror Mystery Thriller
Franklin J. Schaffner,Frank Langella,William Hootkins,John Gielgud,Adventure Mystery Thriller,Sphinx,Sphinx Frank Langella William Hootkins John Gielgud Adventure Mystery Thriller
Noah Baumbach,Naomi Watts,Maria Dizzia,Dree Hemingway,Comedy Drama,While We're Young,While We're Young Naomi Watts Maria Dizzia Dree Hemingway Comedy Drama
Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,Drama Romance,A Better Life,A Better Life Demián Bichir Eddie 'Piolin' Sotelo Robert Peters Drama Romance
David Cronenberg,Miranda Richardson,John Neville,Lynn Redgrave,Drama Mystery Thriller,Spider,Spider Miranda Richardson John Neville Lynn Redgrave Drama Mystery Thriller
Eric Blakeney,Liam Neeson,Oliver Platt,Mitch Pileggi,Comedy Crime Romance,Gun Shy,Gun Shy Liam Neeson Oliver Platt Mitch Pileggi Comedy Crime Romance
Douglas McGrath,Charlie Hunnam,Anne Hathaway,Jim Broadbent,Drama Romance,Nicholas Nickleby,Nicholas Nickleby Charlie Hunnam Anne Hathaway Jim Broadbent Drama Romance
Ariel Vromen,Chris Evans,James Franco,Robert Davi,Biography Crime Drama,The Iceman,The Iceman Chris Evans James Franco Robert Davi Biography Crime Drama
unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Drama,Dekalog            ,Dekalog             Krystyna Janda Olaf Lubaszenko Olgierd Lukaszewicz Drama
Rakesh Roshan,Naseeruddin Shah,Rekha,Sharat Saxena,Action Adventure Romance Sci-Fi,Krrish,Krrish Naseeruddin Shah Rekha Sharat Saxena Action Adventure Romance Sci-Fi
John Waters,Alicia Witt,Melanie Griffith,Kevin Nealon,Comedy Crime Thriller,Cecil B. DeMented,Cecil B. DeMented Alicia Witt Melanie Griffith Kevin Nealon Comedy Crime Thriller
William Friedkin,Matthew McConaughey,Scott A. Martin,Carol Sutton,Crime Drama Romance Thriller,Killer Joe,Killer Joe Matthew McConaughey Scott A. Martin Carol Sutton Crime Drama Romance Thriller
Derrick Borte,Demi Moore,Gary Cole,Robert Pralgo,Comedy Drama,The Joneses,The Joneses Demi Moore Gary Cole Robert Pralgo Comedy Drama
Richard Kwietniowski,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,Crime Drama Thriller,Owning Mahowny,Owning Mahowny Philip Seymour Hoffman Minnie Driver Maury Chaykin Crime Drama Thriller
Bob Odenkirk,Jenna Fischer,Lee Majors,Will Forte,Comedy,The Brothers Solomon,The Brothers Solomon Jenna Fischer Lee Majors Will Forte Comedy
Kar-Wai Wong,Natalie Portman,Norah Jones,Adriane Lenox,Drama Romance,My Blueberry Nights,My Blueberry Nights Natalie Portman Norah Jones Adriane Lenox Drama Romance
John Turturro,Beverly D'Angelo,Ben Gazzara,George DiCenzo,Drama,Illuminata,Illuminata Beverly D'Angelo Ben Gazzara George DiCenzo Drama
Guy Ritchie,Bruce Greenwood,Jeanne Tripplehorn,David Thornton,Comedy Romance,Swept Away,Swept Away Bruce Greenwood Jeanne Tripplehorn David Thornton Comedy Romance
Joshua Seftel,Bashar Rahal,Sergej Trifunovic,Ned Bellamy,Action Comedy Thriller,"War, Inc.","War, Inc. Bashar Rahal Sergej Trifunovic Ned Bellamy Action Comedy Thriller"
Stephen Chow,Wei Zhao,Karen Mok,Kwok-Kwan Chan,Action Comedy Sport,Shaolin Soccer,Shaolin Soccer Wei Zhao Karen Mok Kwok-Kwan Chan Action Comedy Sport
Vincent Gallo,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,Drama,The Brown Bunny,The Brown Bunny Vincent Gallo Cheryl Tiegs Anna Vareschi Drama
Claude Chabrol,Isabelle Huppert,François Cluzet,Michel Serrault,Comedy Crime Thriller,The Swindle,The Swindle Isabelle Huppert François Cluzet Michel Serrault Comedy Crime Thriller
Jon Stewart,Numan Acar,Claire Foy,Haluk Bilginer,Biography Drama,Rosewater,Rosewater Numan Acar Claire Foy Haluk Bilginer Biography Drama
Bigas Luna,Olivier Martinez,Aitana Sánchez-Gijón,Romane Bohringer,Drama Romance,The Chambermaid on the Titanic,The Chambermaid on the Titanic Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer Drama Romance
Ralph Fiennes,Gerard Butler,Ashraf Barhom,Lubna Azabal,Drama Thriller War,Coriolanus,Coriolanus Gerard Butler Ashraf Barhom Lubna Azabal Drama Thriller War
Dan Harris,Kip Pardue,Ryan Donowho,Larry Fessenden,Comedy Drama,Imaginary Heroes,Imaginary Heroes Kip Pardue Ryan Donowho Larry Fessenden Comedy Drama
Mel Smith,Minnie Driver,Danny Dyer,Mary McCormack,Action Comedy Drama,High Heels and Low Lifes,High Heels and Low Lifes Minnie Driver Danny Dyer Mary McCormack Action Comedy Drama
Bobcat Goldthwait,Robin Williams,Daryl Sabara,Henry Simmons,Comedy Drama,World's Greatest Dad,World's Greatest Dad Robin Williams Daryl Sabara Henry Simmons Comedy Drama
Christopher Smith,Danny Dyer,Toby Stephens,Laura Harris,Comedy Horror Thriller,Severance,Severance Danny Dyer Toby Stephens Laura Harris Comedy Horror Thriller
Stuart Gordon,Joe Mantegna,Dulé Hill,Jeffrey Combs,Drama Thriller,Edmond,Edmond Joe Mantegna Dulé Hill Jeffrey Combs Drama Thriller
Jake Scott,Kristen Stewart,Ally Sheedy,Kerry Cahill,Drama,Welcome to the Rileys,Welcome to the Rileys Kristen Stewart Ally Sheedy Kerry Cahill Drama
Alan Metter,Christopher Lee,Michael Winslow,G.W. Bailey,Comedy Crime,Police Academy: Mission to Moscow,Police Academy: Mission to Moscow Christopher Lee Michael Winslow G.W. Bailey Comedy Crime
Jeb Stuart,Ricky Schroder,Nate Parker,Lee Norris,Drama,Blood Done Sign My Name,Blood Done Sign My Name Ricky Schroder Nate Parker Lee Norris Drama
Rafa Lara,Jorge Luis Moreno,Andrés Montiel,William Miller,Drama History War,"Cinco de Mayo, La Batalla","Cinco de Mayo, La Batalla Jorge Luis Moreno Andrés Montiel William Miller Drama History War"
Michael Radford,Chris Noth,Jared Gilman,James Brolin,Comedy Drama Romance,Elsa & Fred,Elsa & Fred Chris Noth Jared Gilman James Brolin Comedy Drama Romance
Arthur Hiller,Eric Idle,Harvey Weinstein,Ryan O'Neal,Comedy,An Alan Smithee Film: Burn Hollywood Burn,An Alan Smithee Film: Burn Hollywood Burn Eric Idle Harvey Weinstein Ryan O'Neal Comedy
Michael Meredith,Jeff Bridges,Justin Timberlake,Ted Danson,Comedy Drama,The Open Road,The Open Road Jeff Bridges Justin Timberlake Ted Danson Comedy Drama
Julio DePietro,Adrian Martinez,Scott Porter,Aaron Yoo,Comedy Romance,The Good Guy,The Good Guy Adrian Martinez Scott Porter Aaron Yoo Comedy Romance
Katherine Dieckmann,Stephanie Szostak,Minnie Driver,Anthony Edwards,Comedy Drama,Motherhood,Motherhood Stephanie Szostak Minnie Driver Anthony Edwards Comedy Drama
William Dear,Madison Pettis,Corbin Bleu,Sandra Echeverría,Drama,Free Style,Free Style Madison Pettis Corbin Bleu Sandra Echeverría Drama
Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,Drama Mystery Thriller,Strangerland,Strangerland Nicholas Hamilton Reef Ireland Sean Keenan Drama Mystery Thriller
Marcus Raboy,Mike Epps,Tamala Jones,Glenn Plummer,Comedy Crime Music,The Janky Promoters,The Janky Promoters Mike Epps Tamala Jones Glenn Plummer Comedy Crime Music
Scott Marshall,Drew Fuller,Drew Waters,Larry Miller,Comedy Romance,Blonde Ambition,Blonde Ambition Drew Fuller Drew Waters Larry Miller Comedy Romance
Álex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,Crime Mystery Thriller,The Oxford Murders,The Oxford Murders Jim Carter Leonor Watling Danny Sapani Crime Mystery Thriller
Andrew Traucki,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Horror Thriller,The Reef,The Reef Damian Walshe-Howling Gyton Grantley Adrienne Pickering Horror Thriller
Michael Clancy,Zooey Deschanel,Rip Torn,Kelly Preston,Comedy Drama,Eulogy,Eulogy Zooey Deschanel Rip Torn Kelly Preston Comedy Drama
Patrick Lussier,Teryl Rothery,Craig Fairbrass,Adrian Holmes,Drama Fantasy Horror Thriller,White Noise 2: The Light,White Noise 2: The Light Teryl Rothery Craig Fairbrass Adrian Holmes Drama Fantasy Horror Thriller
Robert Adetuyi,Shane Pollard,Mishael Morgan,Chase Armitage,Drama Music,You Got Served: Beat the World,You Got Served: Beat the World Shane Pollard Mishael Morgan Chase Armitage Drama Music
